step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_1_stopped,tl_1_accumulated_waiting_time,tl_1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
405.0,97,1921.0,10.327956989247312,2.882267703113631,95,9520.0,0.10476854609455871,95,9520.0
410.0,102,1903.0,10.068783068783068,3.0177088790525763,100,9869.0,0.11422942870521378,100,9869.0
415.0,98,1821.0,9.58421052631579,3.441742961695362,96,10165.0,0.126598865420243,96,10165.0
420.0,97,1845.0,9.972972972972974,3.2097759960271413,95,10531.0,0.12021521074516724,95,10531.0
425.0,95,1967.0,10.988826815642458,3.1227230615768375,93,10873.0,0.12340870224969544,93,10873.0
430.0,86,2095.0,12.109826589595375,3.398528791844462,84,11207.0,0.14225732117790474,84,11207.0
435.0,86,2256.0,13.040462427745664,3.2279196140773365,86,11616.0,0.14897483816308024,86,11616.0
440.0,86,2023.0,11.56,3.1914819872759597,86,11515.0,0.1546277602306922,86,11515.0
445.0,88,1658.0,9.314606741573034,3.1560478003080226,86,11480.0,0.1483337292815635,86,11480.0
450.0,93,1991.0,11.185393258426966,3.023009090087768,91,11609.0,0.13999929219012827,91,11609.0
455.0,106,2415.0,13.491620111731844,2.349584115618366,106,12092.0,0.10343026296718096,106,12092.0
460.0,116,2501.0,13.592391304347826,1.9384058692010373,116,12052.0,0.0701835417807438,116,12052.0
465.0,109,2275.0,12.36413043478261,2.312789910161109,108,11471.0,0.08243506632234256,108,11471.0
470.0,103,2158.0,11.357894736842105,2.4932536193686077,101,11788.0,0.08081507298612503,101,11788.0
475.0,108,2171.0,11.190721649484535,2.68688830442467,106,12138.0,0.09302115936225867,106,12138.0
480.0,105,2048.0,10.556701030927835,3.066052201044967,103,12537.0,0.10778758014014413,103,12537.0
485.0,101,1969.0,10.202072538860104,2.974282953912238,101,13023.0,0.11157550799201342,101,13023.0
490.0,91,1556.0,8.27659574468085,2.55822244101417,91,12999.0,0.10359168120775775,91,12999.0
495.0,84,1110.0,6.0,2.551951000006802,82,13199.0,0.10394286929481233,82,13199.0
500.0,82,1051.0,5.937853107344632,2.48633180488571,80,13424.0,0.11237265704195605,80,13424.0
505.0,92,1222.0,6.865168539325842,2.2100375566803,92,13837.0,0.09314801927897506,92,13837.0
510.0,100,1339.0,7.2771739130434785,2.286318330929093,100,13658.0,0.09681738090328419,100,13658.0
